host name,Email address,Email,Address,City,state,country,Postal code,phone number,first name,last name,personal email,longitude,latitude
Gemeente Ameland,ameland@straat.info,info@ameland.nl,Postbus 22,HOLLUM,nvt,Nederland,9160 AA,(0519) 55 55 55,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Amersfoort,amersfoort@straat.info,info_gemeente@amersfoort.nl,Postbus 4000,AMERSFOORT,nvt,Nederland,3800 EA,14 033,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Amstelveen,amstelveen@straat.info,gemeente@amstelveen.nl,Postbus 4,AMSTELVEEN,nvt,Nederland,1180 BA,(020) 540 49 11,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Amsterdam,amsterdam@straat.info,geenmailamsterdam@straat.info,Postbus 202,AMSTERDAM,nvt,Nederland,1000 AE,14 020,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Apeldoorn,apeldoorn@straat.info,gemeente@apeldoorn.nl,Postbus 9033,APELDOORN,nvt,Nederland,7300 ES,14 055,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Appingedam,appingedam@straat.info,info@appingedam.nl,Postbus 15,APPINGEDAM,nvt,Nederland,9900 AA,14 0596,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Arnhem,arnhem@straat.info,gemeente@arnhem.nl,Postbus 9029,ARNHEM,nvt,Nederland,6800 EL,0900 1809,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Assen,assen@straat.info,info@assen.nl,Postbus 30018,ASSEN,nvt,Nederland,9400 RA,(0592) 36 69 11,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Asten,asten@straat.info,Gemeente@asten.nl,Postbus 290,ASTEN,nvt,Nederland,5720 AG,(0493) 67 12 12,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Baarle-Nassau,baarle@straat.info,gemeente@baarle-nassau.nl,Postbus 105,BAARLE-NASSAU,nvt,Nederland,5110 AC,(013) 507 52 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Baarn,baarn@straat.info,gemeente@baarn.nl,Postbus 1003,BAARN,nvt,Nederland,3740 BA,(035) 548 16 11,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Barendrecht,barendrecht@straat.info,gemeente@barendrecht.nl,Postbus 501,BARENDRECHT,nvt,Nederland,2990 EA,14 0180,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Barneveld,barneveld@straat.info,info@barneveld.nl,Postbus 63,BARNEVELD,nvt,Nederland,3770 AB,14 0342,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Beek,beek@straat.info,info@gemeentebeek.nl,Postbus 20,BEEK LB,nvt,Nederland,6190 AA,(046) 438 92 22,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Beekdaelen,gemeente@beekdaelen.nl,gemeente@beekdaelen.nl,Postbus 22000,Nuth,nvt,Nederland,6360 AA,088 - 450 2000,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Beemster,beemster@straat.info,gemeente@beemster.net,Postbus 7,MIDDENBEEMSTER,nvt,Nederland,1462 ZG,(0299) 68 21 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Beesel,beesel@straat.info,info@beesel.nl,Postbus 4750,REUVER,nvt,Nederland,5953 ZK,(077) 474 92 92,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Bergeijk,bergeijk@straat.info,info@bergeijk.nl,Postbus 10000,BERGEIJK,nvt,Nederland,5570 GA,(0497) 55 14 55,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Bergen (L),bergenLIMBURG@straat.info,info@bergen.nl,Postbus 140,BERGEN LB,nvt,Nederland,5854 ZJ,(0485) 34 83 83,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Bergen (NH),bergenNOORDHOLLAND@straat.info,info@bergen-nh.nl,Postbus 175,BERGEN NH,nvt,Nederland,1860 AD,(072) 888 00 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Bergen op Zoom,bergenopzoom@straat.info,stadskantoor@bergenopzoom.nl,Postbus 35,BERGEN OP ZOOM,nvt,Nederland,4600 AA,(0164) 27 70 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Berkelland,berkelland@straat.info,info@gemeenteberkelland.nl,Postbus 200,BORCULO,nvt,Nederland,7270 HA,(0545) 25 02 50,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Bernheze,bernheze@straat.info,gemeente@bernheze.org,Postbus 19,HEESCH,nvt,Nederland,5384 ZG,(0412) 45 88 88,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Best,best@straat.info,gemeente.best@gembest.nl,Postbus 50,BEST,nvt,Nederland,5680 AB,(0499) 36 09 11,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Beuningen,beuningen@straat.info,gemeente@beuningen.nl,Postbus 14,BEUNINGEN GLD,nvt,Nederland,6640 AA,14 024,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Beverwijk,beverwijk@straat.info,info@beverwijk.nl,Postbus 450,BEVERWIJK,nvt,Nederland,1940 AL,(0251) 25 62 56,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Bladel,bladel@straat.info,info@bladel.nl,Postbus 11,BLADEL,nvt,Nederland,5530 AA,(0497) 36 16 36,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Blaricum,blaricum@straat.info,mail@blaricum.nl,Postbus 71,EEMNES,nvt,Nederland,3755 ZH,(035) 751 32 22,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Bloemendaal,bloemendaal@straat.info,gemeente@bloemendaal.nl,Postbus 201,OVERVEEN,nvt,Nederland,2050 AE,14 023,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Bodegraven-Reeuwijk,bodegraven@straat.info,info@bodegraven-reeuwijk.nl,Postbus 401,BODEGRAVEN,nvt,Nederland,2410 AK,(0172) 52 25 22,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Boekel,boekel@straat.info,info@boekel.nl,Postbus 99,BOEKEL,nvt,Nederland,5427 ZH,(0492) 32 68 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Borger-Odoorn,borger@straat.info,gemeente@borger-odoorn.nl,Postbus 3,EXLOO,nvt,Nederland,7875 ZG,14 0591,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Borne,borne@straat.info,info@borne.nl,Postbus 200,BORNE,nvt,Nederland,7620 AE,(074) 265 86 86,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Borsele,borsele@straat.info,info@borsele.nl,Postbus 1,HEINKENSZAND,nvt,Nederland,4450 AA,(0113) 23 83 83,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Boxmeer,boxmeer@straat.info,gemeente@boxmeer.nl,Postbus 450,BOXMEER,nvt,Nederland,5830 AL,(0485) 58 59 11,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Boxtel,boxtel@straat.info,gemeente@boxtel.nl,Postbus 10000,BOXTEL,nvt,Nederland,5280 DA,(0411) 65 59 11,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Breda,breda@straat.info,gemeentebreda@breda.nl,Postbus 90156,BREDA,nvt,Nederland,4800 RH,14 076,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Brielle,brielle@straat.info,info@brielle.nl,Postbus 101,BRIELLE,nvt,Nederland,3230 AC,(0181) 47 11 11,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Bronckhorst,bronckhorst@straat.info,info@bronckhorst.nl,Postbus 200,HENGELO GLD,nvt,Nederland,7255 ZJ,(0575) 75 02 50,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Brummen,brummen@straat.info,gemeente@brummen.nl,Postbus 5,BRUMMEN,nvt,Nederland,6970 AA,(0575) 56 82 33,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Brunssum,brunssum@straat.info,gemeente@brunssum.nl,Postbus 250,BRUNSSUM,nvt,Nederland,6440 AG,(045) 527 85 55,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Bunnik,bunnik@straat.info,info@bunnik.nl,Postbus 5,BUNNIK,nvt,Nederland,3980 CA,(030) 659 48 48,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Bunschoten,bunschoten@straat.info,geenmailbunschoten@straat.info,Postbus 200,BUNSCHOTEN-SPAKENBURG,nvt,Nederland,3750 GE,14 033,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Buren,buren@straat.info,gemeente@buren.nl,Postbus 23,MAURIK,nvt,Nederland,4020 BA,14 0344,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Capelle aan den IJssel,capelle@straat.info,gemeente@capelleaandenijssel.nl,Postbus 70,CAPELLE AAN DEN IJSSEL,nvt,Nederland,2900 AB,(010) 284 84 84,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Castricum,castricum@straat.info,gemeentebestuur@castricum.nl,Postbus 1301,CASTRICUM,nvt,Nederland,1900 BH,(0251) 66 11 22,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Coevorden,coevorden@straat.info,info@coevorden.nl,Postbus 2,COEVORDEN,nvt,Nederland,7740 AA,14 0524,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Cranendonck,cranendonck@straat.info,info@cranendonck.nl,Postbus 2090,BUDEL,nvt,Nederland,6020 AB,(0495) 43 12 22,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Cuijk,cuijk@straat.info,gemeente@cuijk.nl,Postbus 7,GRAVE,nvt,Nederland,5360 AA,(0485) 39 66 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Culemborg,culemborg@straat.info,info@culemborg.nl,Postbus 136,CULEMBORG,nvt,Nederland,4100 AC,(0345) 47 77 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Dalfsen,dalfsen@straat.info,gemeente@dalfsen.nl,Postbus 35,DALFSEN,nvt,Nederland,7720 AA,(0529) 48 83 88,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Dantumadiel,dantumadiel@straat.info,post@dantumadiel.eu,Postbus 22,DAMWALD,nvt,Nederland,9104 ZG,14+ 0511,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente De Bilt,debilst@straat.info,info@debilt.nl,Postbus 300,BILTHOVEN,nvt,Nederland,3720 AH,(030) 228 94 11,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente De Fryske Marren,Defryskemarren@straat.info,geenmaildefryskemarren@straat.info,Postbus 101,JOURE,nvt,Nederland,8500 AC,14 05 14,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente De Ronde Venen,derondevenen@straat.info,info@derondevenen.nl,Postbus 250,MIJDRECHT,nvt,Nederland,3640 AG,(0297) 29 16 16,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente De Wolden,dewolden@straat.info,gemeente@dewolden.nl,Postbus 20,ZUIDWOLDE DR,nvt,Nederland,7920 AA,14 0528,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Delft,delft@straat.info,geenmaildelft@straat.info,Postbus 78,DELFT,nvt,Nederland,2600 ME,14 015,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Delfzijl,delfzijl@straat.info,gemeente@delfzijl.nl,Postbus 20000,DELFZIJL,nvt,Nederland,9930 PA,14 0596,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Den Haag,denhaag@straat.info,contactcentrum@denhaag.nl,Postbus 12600,'S-GRAVENHAGE,nvt,Nederland,2500 DJ,14 070,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Den Helder,denhelder@straat.info,info@denhelder.nl,Postbus 36,DEN HELDER,nvt,Nederland,1780 AA,(0223) 67 12 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Deurne,deurne@straat.info,info@deurne.nl,Postbus 3,DEURNE,nvt,Nederland,5750 AA,(0493) 38 77 11,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Deventer,deventer@straat.info,gemeente@deventer.nl,Postbus 5000,DEVENTER,nvt,Nederland,7400 GC,14 0570,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Diemen,diemen@straat.info,gemeente@diemen.nl,Postbus 191,DIEMEN,nvt,Nederland,1110 AD,(020) 314 48 88,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Dinkelland,dinkelland@straat.info,info@dinkelland.nl,Postbus 11,DENEKAMP,nvt,Nederland,7590 AA,(0541) 85 41 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Doesburg,doesburg@straat.info,info@doesburg.nl,Postbus 100,DOESBURG,nvt,Nederland,6980 AC,(0313) 48 13 13,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Doetinchem,doetinchem@straat.info,gemeente@doetinchem.nl,Postbus 9020,DOETINCHEM,nvt,Nederland,7000 HA,(0314) 37 73 77,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Dongen,dongen@straat.info,info@dongen.nl,Postbus 10153,DONGEN,nvt,Nederland,5100 GE,(0162) 38 32 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Dordrecht,dordrecht@straat.info,geenmaildordrecht@straat.info,Postbus 8,DORDRECHT,nvt,Nederland,3300 AA,14 078,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Drechterland,drechterland@straat.info,gemeente@drechterland.nl,Postbus 9,HOOGKARSPEL,nvt,Nederland,1616 ZG,(0228) 35 23 52,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Drimmelen,drimmelen@straat.info,gemeente@drimmelen.nl,Postbus 19,MADE,nvt,Nederland,4920 AA,(0162) 69 01 90,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Dronten,dronten@straat.info,gemeente@dronten.nl,Postbus 100,DRONTEN,nvt,Nederland,8250 AC,14 0321,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Druten,druten@straat.info,info@druten.nl,Postbus 1,DRUTEN,nvt,Nederland,6650 AA,14 0487,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Duiven,duiven@straat.info,gemeente@duiven.nl,Postbus 6,DUIVEN,nvt,Nederland,6920 AA,(0316) 27 91 11,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Echt-Susteren,echt@straat.info,info@echt-susteren.nl,Postbus 450,ECHT,nvt,Nederland,6100 AL,(0475) 47 84 78,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Edam-Volendam,edam@straat.info,info@edam-volendam.nl,Postbus 180,VOLENDAM,nvt,Nederland,1130 AD,(0299) 39 83 98,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Ede,ede@straat.info,info@ede.nl,Postbus 9022,EDE GLD,nvt,Nederland,6710 HK,14-0318,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Eemnes,eemnes@straat.info,info@eemnes.nl,Postbus 71,EEMNES,nvt,Nederland,3755 ZH,14 035,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Eersel,eersel@straat.info,gemeente@eersel.nl,Postbus 12,EERSEL,nvt,Nederland,5520 AA,(0497) 53 13 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Eijsden-Margraten,eijsden@straat.info,info@eijsden-margraten.nl,Postbus 10,MARGRATEN,nvt,Nederland,6269 ZG,(043) 458 84 88,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Eindhoven,eindhoven@straat.info,gemeente@eindhoven.nl,Postbus 90150,EINDHOVEN,nvt,Nederland,5600 RB,14 040,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Elburg,elburg@straat.info,gemeente@elburg.nl,Postbus 70,ELBURG,nvt,Nederland,8080 AB,(0525) 68 86 88,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Emmen,emmen@straat.info,gemeente@emmen.nl,Postbus 30001,EMMEN,nvt,Nederland,7800 RA,14 0591,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Enkhuizen,enkhuizen@straat.info,stadhuis@enkhuizen.nl,Postbus 11,ENKHUIZEN,nvt,Nederland,1600 AA,(0228) 36 01 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Enschede,enschede@straat.info,postbus20@enschede.nl,Postbus 20,ENSCHEDE,nvt,Nederland,7500 AA,14 053,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Epe,epe@straat.info,gemeente@epe.nl,Postbus 600,EPE,nvt,Nederland,8160 AP,14 0578,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Ermelo,ermelo@straat.info,gemeente@ermelo.nl,Postbus 500,ERMELO,nvt,Nederland,3850 AM,(0341) 56 73 21,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Etten-Leur,etten@straat.info,info@etten-leur.nl,Postbus 10100,ETTEN-LEUR,nvt,Nederland,4870 GA,14 076,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Geertruidenberg,geertruidenberg@straat.info,info@geertruidenberg.nl,Postbus 10001,RAAMSDONKSVEER,nvt,Nederland,4940 GA,14 0162,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Geldrop-Mierlo,geldrop@straat.info,gemeente@geldrop-mierlo.nl,Postbus 10101,GELDROP,nvt,Nederland,5660 GA,14 040,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Gemert-Bakel,gemert@straat.info,gemeente@gemert-bakel.nl,Postbus 10000,GEMERT,nvt,Nederland,5420 DA,(0492) 37 85 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Gennep,gennep@straat.info,gemeente@gennep.nl,Postbus 9003,GENNEP,nvt,Nederland,6590 HD,(0485) 49 41 41,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Gilze en Rijen,gilze@straat.info,info@gilzerijen.nl,Postbus 73,RIJEN,nvt,Nederland,5120 AB,14 0161,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Goeree-Overflakkee,goeree@straat.info,info@goeree-overflakkee.nl,Postbus 1,MIDDELHARNIS,nvt,Nederland,3240 AA,14 0187,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Goes,goes@straat.info,stadskantoor@goes.nl,Postbus 2118,GOES,nvt,Nederland,4460 MC,(0113) 24 96 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Goirle,goirle@straat.info,info@goirle.nl,Postbus 17,GOIRLE,nvt,Nederland,5050 AA,(013) 531 06 10,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Gooise Meren,gooise@straat.info,geenmailgooisemeren@straat.info,Postbus 6000,Bussum,nvt,Nederland,1400 HA,(035) 207 00 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Gorinchem,gorinchem@straat.info,Gemeente@Gorinchem.nl,Postbus 108,GORINCHEM,nvt,Nederland,4200 AC,(0183) 65 95 95,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Gouda,gouda@straat.info,gemeente@gouda.nl,Postbus 1086,GOUDA,nvt,Nederland,2800 BB,14 0182,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Grave,grave@straat.info,info@grave.nl,Postbus 7,GRAVE,nvt,Nederland,5360 AA,(0486) 47 72 77,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Groesbeek,groesbeek@straat.info,gemeente@groesbeek.nl,Postbus 20,GROESBEEK,nvt,Nederland,6560 AA,14 024,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Groningen,groningen@straat.info,info@groningen.nl,Postbus 20001,GRONINGEN,nvt,Nederland,9700 PB,14 050,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Gulpen-Wittem,gulpen@straat.info,info@gulpen-wittem.nl,Postbus 56,GULPEN,nvt,Nederland,6270 AB,(043) 880 06 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Haaksbergen,haaksbergen@straat.info,gemeente@haaksbergen.nl,Postbus 102,HAAKSBERGEN,nvt,Nederland,7480 AC,(053) 573 45 67,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Haaren,haaren@straat.info,gemeente@haaren.nl,Postbus 44,HAAREN,nvt,Nederland,5076 ZG,(0411) 62 72 82,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Haarlem,haarlem@straat.info,antwoord@haarlem.nl,Postbus 511,HAARLEM,nvt,Nederland,2003 PB,14 023,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Haarlemmermeer,haarlemmermeer@straat.info,info@haarlemmermeer.nl,Postbus 250,HOOFDDORP,nvt,Nederland,2130 AG,0900 1852,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Halderberge,halderberge@straat.info,gemeente@halderberge.nl,Postbus 5,OUDENBOSCH,nvt,Nederland,4730 AA,(0165) 39 05 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Hardenberg,hardenberg@straat.info,gemeente@hardenberg.nl,Postbus 500,HARDENBERG,nvt,Nederland,7770 BA,14 0523,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Harderwijk,harderwijk@straat.info,gemeente@harderwijk.nl,Postbus 149,HARDERWIJK,nvt,Nederland,3840 AC,(0341) 41 19 11,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Hardinxveld-Giessendam,hardinxveld@straat.info,info@gemhg.nl,Postbus 175,HARDINXVELD-GIESSENDAM,nvt,Nederland,3370 AD,14 0184,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Harlingen,harlingen@straat.info,gemeentebestuur@harlingen.nl,Postbus 10000,HARLINGEN,nvt,Nederland,8860 HA,(0517) 49 22 22,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Hattem,hattem@straat.info,gemeente@hattem.nl,Postbus 93,HATTEM,nvt,Nederland,8050 AB,(038) 443 16 16,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Heemskerk,heemskerk@straat.info,post@heemskerk.nl,Postbus 1,HEEMSKERK,nvt,Nederland,1960 AA,14 0251,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Heemstede,heemstede@straat.info,gemeente@heemstede.nl,Postbus 352,HEEMSTEDE,nvt,Nederland,2100 AJ,14 023,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Heerde,heerde@straat.info,gemeente@heerde.nl,Postbus 175,HEERDE,nvt,Nederland,8180 AD,(0578) 69 94 94,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Heerenveen,heerenveen@straat.info,gemeente@heerenveen.nl,Postbus 15000,HEERENVEEN,nvt,Nederland,8440 GA,(0513) 61 76 17,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Heerhugowaard,heerhugowaard@straat.info,post@heerhugowaard.nl,Postbus 390,HEERHUGOWAARD,nvt,Nederland,1700 AJ,14 072,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Heerlen,heerlen@straat.info,gemeente@heerlen.nl,Postbus 1,HEERLEN,nvt,Nederland,6400 AA,14 045,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Heeze-Leende,heeze@straat.info,postbus@heeze-leende.nl,Postbus 10000,HEEZE,nvt,Nederland,5590 GA,(040) 224 14 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Heiloo,heiloo@straat.info,info@heiloo.nl,Postbus 1,HEILOO,nvt,Nederland,1850 AA,(072) 535 66 66,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Hellendoorn,hellendoorn@straat.info,gemeentebestuur@hellendoorn.nl,Postbus 200,NIJVERDAL,nvt,Nederland,7440 AE,(0548) 63 00 00,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Hellevoetsluis,hellevoetsluis@straat.info,gemeente@hellevoetsluis.nl,Postbus 13,HELLEVOETSLUIS,nvt,Nederland,3220 AA,14 0181,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Helmond,helmond@straat.info,gemeente@helmond.nl,Postbus 950,HELMOND,nvt,Nederland,5700 AZ,14 0492,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Hendrik-Ido-Ambacht,hendrik@straat.info,gemeente@h-i-ambacht.nl,Postbus 34,HENDRIK-IDO-AMBACHT,nvt,Nederland,3340 AA,14 078,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Hengelo,hengelo@straat.info,gemeente@hengelo.nl,Postbus 18,HENGELO OV,nvt,Nederland,7550 AA,(074) 245 98 76,first,last,personal@straat.info,"29,984,541","-26,521,851"
Gemeente Het Hogeland,gemeente@hethogeland.nl,gemeente@hethogeland.nl,Postbus 26,Uithuizen,nvt,Nederland,9980 AA,088 345888,first,last,personal@straat.info,"29,984,541","-26,521,851"
