hostName,alternateHostName,email,houseNumber,street ,address,city,state,country,postalCode,phoneNumber,fname,lname,personalEmail,long,lat
Gemeente Borsele,,borsele@straat.info,,,Postbus 1,HEINKENSZAND,nvt,Nederland,4450 AA,(0113) 23 83 83,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Boxmeer,,boxmeer@straat.info,,,Postbus 450,BOXMEER,nvt,Nederland,5830 AL,(0485) 58 59 11,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Boxtel,,boxtel@straat.info,,,Postbus 10000,BOXTEL,nvt,Nederland,5280 DA,(0411) 65 59 11,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Breda,,breda@straat.info,,,Postbus 90156,BREDA,nvt,Nederland,4800 RH,14 076,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Brielle,,brielle@straat.info,,,Postbus 101,BRIELLE,nvt,Nederland,3230 AC,(0181) 47 11 11,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Bronckhorst,,bronckhorst@straat.info,,,Postbus 200,HENGELO GLD,nvt,Nederland,7255 ZJ,(0575) 75 02 50,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Brummen,,brummen@straat.info,,,Postbus 5,BRUMMEN,nvt,Nederland,6970 AA,(0575) 56 82 33,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Brunssum,,brunssum@straat.info,,,Postbus 250,BRUNSSUM,nvt,Nederland,6440 AG,(045) 527 85 55,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Bunnik,,bunnik@straat.info,,,Postbus 5,BUNNIK,nvt,Nederland,3980 CA,(030) 659 48 48,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Bunschoten,,bunschoten@straat.info,,,Postbus 200,BUNSCHOTEN-SPAKENBURG,nvt,Nederland,3750 GE,14 033,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Buren,,buren@straat.info,,,Postbus 23,MAURIK,nvt,Nederland,4020 BA,14 0344,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Capelle aan den IJssel,,capelle@straat.info,,,Postbus 70,CAPELLE AAN DEN IJSSEL,nvt,Nederland,2900 AB,(010) 284 84 84,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Castricum,,castricum@straat.info,,,Postbus 1301,CASTRICUM,nvt,Nederland,1900 BH,(0251) 66 11 22,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Coevorden,,coevorden@straat.info,,,Postbus 2,COEVORDEN,nvt,Nederland,7740 AA,14 0524,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Cranendonck,,cranendonck@straat.info,,,Postbus 2090,BUDEL,nvt,Nederland,6020 AB,(0495) 43 12 22,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Cuijk,,cuijk@straat.info,,,Postbus 7,GRAVE,nvt,Nederland,5360 AA,(0485) 39 66 00,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Culemborg,,culemborg@straat.info,,,Postbus 136,CULEMBORG,nvt,Nederland,4100 AC,(0345) 47 77 00,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Dalfsen,,dalfsen@straat.info,,,Postbus 35,DALFSEN,nvt,Nederland,7720 AA,(0529) 48 83 88,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Dantumadiel,,dantumadiel@straat.info,,,Postbus 22,DAMWALD,nvt,Nederland,9104 ZG,14+ 0511,first,last,personal@straat.info,4.3151,52.0612965
Gemeente De Bilt,,debilst@straat.info,,,Postbus 300,BILTHOVEN,nvt,Nederland,3720 AH,(030) 228 94 11,first,last,personal@straat.info,4.3151,52.0612965
Gemeente De Fryske Marren,,Defryskemarren@straat.info,,,Postbus 101,JOURE,nvt,Nederland,8500 AC,14 05 14,first,last,personal@straat.info,4.3151,52.0612965
Gemeente De Ronde Venen,,derondevenen@straat.info,,,Postbus 250,MIJDRECHT,nvt,Nederland,3640 AG,(0297) 29 16 16,first,last,personal@straat.info,4.3151,52.0612965
Gemeente De Wolden,,dewolden@straat.info,,,Postbus 20,ZUIDWOLDE DR,nvt,Nederland,7920 AA,14 0528,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Delft,,delft@straat.info,,,Postbus 78,DELFT,nvt,Nederland,2600 ME,14 015,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Delfzijl,,delfzijl@straat.info,,,Postbus 20000,DELFZIJL,nvt,Nederland,9930 PA,14 0596,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Den Helder,,denhelder@straat.info,,,Postbus 36,DEN HELDER,nvt,Nederland,1780 AA,(0223) 67 12 00,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Deurne,,deurne@straat.info,,,Postbus 3,DEURNE,nvt,Nederland,5750 AA,(0493) 38 77 11,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Deventer,,deventer@straat.info,,,Postbus 5000,DEVENTER,nvt,Nederland,7400 GC,14 0570,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Diemen,,diemen@straat.info,,,Postbus 191,DIEMEN,nvt,Nederland,1110 AD,(020) 314 48 88,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Dinkelland,,dinkelland@straat.info,,,Postbus 11,DENEKAMP,nvt,Nederland,7590 AA,(0541) 85 41 00,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Doesburg,,doesburg@straat.info,,,Postbus 100,DOESBURG,nvt,Nederland,6980 AC,(0313) 48 13 13,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Doetinchem,,doetinchem@straat.info,,,Postbus 9020,DOETINCHEM,nvt,Nederland,7000 HA,(0314) 37 73 77,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Dongen,,dongen@straat.info,,,Postbus 10153,DONGEN,nvt,Nederland,5100 GE,(0162) 38 32 00,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Dordrecht,,dordrecht@straat.info,,,Postbus 8,DORDRECHT,nvt,Nederland,3300 AA,14 078,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Drechterland,,drechterland@straat.info,,,Postbus 9,HOOGKARSPEL,nvt,Nederland,1616 ZG,(0228) 35 23 52,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Drimmelen,,drimmelen@straat.info,,,Postbus 19,MADE,nvt,Nederland,4920 AA,(0162) 69 01 90,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Dronten,,dronten@straat.info,,,Postbus 100,DRONTEN,nvt,Nederland,8250 AC,14 0321,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Druten,,druten@straat.info,,,Postbus 1,DRUTEN,nvt,Nederland,6650 AA,14 0487,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Duiven,,duiven@straat.info,,,Postbus 6,DUIVEN,nvt,Nederland,6920 AA,(0316) 27 91 11,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Echt-Susteren,,echt@straat.info,,,Postbus 450,ECHT,nvt,Nederland,6100 AL,(0475) 47 84 78,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Edam-Volendam,,edam@straat.info,,,Postbus 180,VOLENDAM,nvt,Nederland,1130 AD,(0299) 39 83 98,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Ede,,ede@straat.info,,,Postbus 9022,EDE GLD,nvt,Nederland,6710 HK,14-0318,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Eemnes,,eemnes@straat.info,,,Postbus 71,EEMNES,nvt,Nederland,3755 ZH,14 035,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Eersel,,eersel@straat.info,,,Postbus 12,EERSEL,nvt,Nederland,5520 AA,(0497) 53 13 00,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Eijsden-Margraten,,eijsden@straat.info,,,Postbus 10,MARGRATEN,nvt,Nederland,6269 ZG,(043) 458 84 88,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Eindhoven,,eindhoven@straat.info,,,Postbus 90150,EINDHOVEN,nvt,Nederland,5600 RB,14 040,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Elburg,,elburg@straat.info,,,Postbus 70,ELBURG,nvt,Nederland,8080 AB,(0525) 68 86 88,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Emmen,,emmen@straat.info,,,Postbus 30001,EMMEN,nvt,Nederland,7800 RA,14 0591,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Enkhuizen,,enkhuizen@straat.info,,,Postbus 11,ENKHUIZEN,nvt,Nederland,1600 AA,(0228) 36 01 00,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Enschede,,enschede@straat.info,,,Postbus 20,ENSCHEDE,nvt,Nederland,7500 AA,14 053,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Epe,,epe@straat.info,,,Postbus 600,EPE,nvt,Nederland,8160 AP,14 0578,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Ermelo,,ermelo@straat.info,,,Postbus 500,ERMELO,nvt,Nederland,3850 AM,(0341) 56 73 21,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Etten-Leur,,etten@straat.info,,,Postbus 10100,ETTEN-LEUR,nvt,Nederland,4870 GA,14 076,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Geertruidenberg,,geertruidenberg@straat.info,,,Postbus 10001,RAAMSDONKSVEER,nvt,Nederland,4940 GA,14 0162,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Geldrop-Mierlo,,geldrop@straat.info,,,Postbus 10101,GELDROP,nvt,Nederland,5660 GA,14 040,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Gemert-Bakel,,gemert@straat.info,,,Postbus 10000,GEMERT,nvt,Nederland,5420 DA,(0492) 37 85 00,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Gennep,,gennep@straat.info,,,Postbus 9003,GENNEP,nvt,Nederland,6590 HD,(0485) 49 41 41,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Gilze en Rijen,,gilze@straat.info,,,Postbus 73,RIJEN,nvt,Nederland,5120 AB,14 0161,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Goeree-Overflakkee,,goeree@straat.info,,,Postbus 1,MIDDELHARNIS,nvt,Nederland,3240 AA,14 0187,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Goes,,goes@straat.info,,,Postbus 2118,GOES,nvt,Nederland,4460 MC,(0113) 24 96 00,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Goirle,,goirle@straat.info,,,Postbus 17,GOIRLE,nvt,Nederland,5050 AA,(013) 531 06 10,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Gooise Meren,,gooise@straat.info,,,Postbus 6000,Bussum,nvt,Nederland,1400 HA,(035) 207 00 00,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Gorinchem,,gorinchem@straat.info,,,Postbus 108,GORINCHEM,nvt,Nederland,4200 AC,(0183) 65 95 95,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Gouda,,gouda@straat.info,,,Postbus 1086,GOUDA,nvt,Nederland,2800 BB,14 0182,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Grave,,grave@straat.info,,,Postbus 7,GRAVE,nvt,Nederland,5360 AA,(0486) 47 72 77,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Groningen,,groningen@straat.info,,,Postbus 20001,GRONINGEN,nvt,Nederland,9700 PB,14 050,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Gulpen-Wittem,,gulpen@straat.info,,,Postbus 56,GULPEN,nvt,Nederland,6270 AB,(043) 880 06 00,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Haaksbergen,,haaksbergen@straat.info,,,Postbus 102,HAAKSBERGEN,nvt,Nederland,7480 AC,(053) 573 45 67,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Haaren,,haaren@straat.info,,,Postbus 44,HAAREN,nvt,Nederland,5076 ZG,(0411) 62 72 82,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Haarlem,,haarlem@straat.info,,,Postbus 511,HAARLEM,nvt,Nederland,2003 PB,14 023,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Haarlemmermeer,,haarlemmermeer@straat.info,,,Postbus 250,HOOFDDORP,nvt,Nederland,2130 AG,0900 1852,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Halderberge,,halderberge@straat.info,,,Postbus 5,OUDENBOSCH,nvt,Nederland,4730 AA,(0165) 39 05 00,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Hardenberg,,hardenberg@straat.info,,,Postbus 500,HARDENBERG,nvt,Nederland,7770 BA,14 0523,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Harderwijk,,harderwijk@straat.info,,,Postbus 149,HARDERWIJK,nvt,Nederland,3840 AC,(0341) 41 19 11,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Hardinxveld-Giessendam,,hardinxveld@straat.info,,,Postbus 175,HARDINXVELD-GIESSENDAM,nvt,Nederland,3370 AD,14 0184,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Harlingen,,harlingen@straat.info,,,Postbus 10000,HARLINGEN,nvt,Nederland,8860 HA,(0517) 49 22 22,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Hattem,,hattem@straat.info,,,Postbus 93,HATTEM,nvt,Nederland,8050 AB,(038) 443 16 16,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Heemskerk,,heemskerk@straat.info,,,Postbus 1,HEEMSKERK,nvt,Nederland,1960 AA,14 0251,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Heemstede,,heemstede@straat.info,,,Postbus 352,HEEMSTEDE,nvt,Nederland,2100 AJ,14 023,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Heerde,,heerde@straat.info,,,Postbus 175,HEERDE,nvt,Nederland,8180 AD,(0578) 69 94 94,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Heerenveen,,heerenveen@straat.info,,,Postbus 15000,HEERENVEEN,nvt,Nederland,8440 GA,(0513) 61 76 17,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Heerhugowaard,,heerhugowaard@straat.info,,,Postbus 390,HEERHUGOWAARD,nvt,Nederland,1700 AJ,14 072,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Heerlen,,heerlen@straat.info,,,Postbus 1,HEERLEN,nvt,Nederland,6400 AA,14 045,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Heeze-Leende,,heeze@straat.info,,,Postbus 10000,HEEZE,nvt,Nederland,5590 GA,(040) 224 14 00,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Heiloo,,heiloo@straat.info,,,Postbus 1,HEILOO,nvt,Nederland,1850 AA,(072) 535 66 66,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Hellendoorn,,hellendoorn@straat.info,,,Postbus 200,NIJVERDAL,nvt,Nederland,7440 AE,(0548) 63 00 00,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Hellevoetsluis,,hellevoetsluis@straat.info,,,Postbus 13,HELLEVOETSLUIS,nvt,Nederland,3220 AA,14 0181,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Helmond,,helmond@straat.info,,,Postbus 950,HELMOND,nvt,Nederland,5700 AZ,14 0492,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Hendrik-Ido-Ambacht,,hendrik@straat.info,,,Postbus 34,HENDRIK-IDO-AMBACHT,nvt,Nederland,3340 AA,14 078,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Hengelo,,hengelo@straat.info,,,Postbus 18,HENGELO OV,nvt,Nederland,7550 AA,(074) 245 98 76,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Het Hogeland,,gemeente@hethogeland.nl,,,Postbus 26,Uithuizen,nvt,Nederland,9980 AA,088 345888,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Heumen,,heumen@straat.info,,,Postbus 200,MALDEN,nvt,Nederland,6580 AZ,14 024,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Heusden,,heusden@straat.info,,,Postbus 41,VLIJMEN,nvt,Nederland,5250 AA,14 073,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Hillegom,,hillegom@straat.info,,,Postbus 32,HILLEGOM,nvt,Nederland,2180 AA,14 0252,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Hilvarenbeek,,hilvarenbeek@straat.info,,,Postbus 3,HILVARENBEEK,nvt,Nederland,5080 AA,(013) 505 83 83,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Hilversum,,hilversum@straat.info,,,Postbus 9900,HILVERSUM,nvt,Nederland,1201 GM,14 035,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Hoeksche Waard,,info@gemeentehw.nl,,,Postbus 2003,Oud-Beijerland,nvt,Nederland,3260 EA,088 647 36 47,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Hof van Twente,,hof@straat.info,,,Postbus 54,GOOR,nvt,Nederland,7470 AB,(0547) 85 85 85,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Hollands Kroon,,hollands@straat.info,,,Postbus 8,ANNA PAULOWNA,nvt,Nederland,1760 AA,(088) 321 50 00,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Hoogeveen,,hoogeveen@straat.info,,,Postbus 20000,HOOGEVEEN,nvt,Nederland,7900 PA,14 0528,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Hoorn,,hoorn@straat.info,,,Postbus 603,HOORN NH,nvt,Nederland,1620 AR,(0229) 25 22 00,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Horst aan de Maas,,horst@straat.info,,,Postbus 6005,HORST,nvt,Nederland,5960 AA,(077) 477 97 77,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Houten,,houten@straat.info,,,Postbus 30,HOUTEN,nvt,Nederland,3990 DA,(030) 639 26 11,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Huizen,,huizen@straat.info,,,Postbus 5,HUIZEN,nvt,Nederland,1270 AA,(035) 528 19 11,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Hulst,,hulst@straat.info,,,Postbus 49,HULST,nvt,Nederland,4560 AA,14 0114,first,last,personal@straat.info,4.3151,52.0612965
Gemeente IJsselstein,,ijsselstein@straat.info,,,Postbus 26,IJSSELSTEIN UT,nvt,Nederland,3400 AA,14 030,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Kaag en Braassem,,kaag@straat.info,,,Postbus 1,ROELOFARENDSVEEN,nvt,Nederland,2370 AA,(071) 332 72 72,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Kampen,,kampen@straat.info,,,Postbus 5009,KAMPEN,nvt,Nederland,8260 GA,(038) 339 29 99,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Kapelle,,kapelle@straat.info,,,Postbus 79,KAPELLE,nvt,Nederland,4420 AC,(0113) 33 31 10,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Katwijk,,katwijk@straat.info,,,Postbus 589,KATWIJK ZH,nvt,Nederland,2220 AN,(071) 406 50 00,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Kerkrade,,kerkrade@straat.info,,,Postbus 600,KERKRADE,nvt,Nederland,6460 AP,14 045,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Koggenland,,koggenland@straat.info,,,Postbus 21,AVENHORN,nvt,Nederland,1633 ZG,(0229) 54 84 00,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Krimpen aan den IJssel,,krimpen@straat.info,,,Postbus 200,KRIMPEN AAN DEN IJSSEL,nvt,Nederland,2920 AE,14 0180,first,last,personal@straat.info,4.3151,52.0612965
Gemeente Krimpenerwaard,,krimpenerwaard@straat.info,,,Postbus 51,STOLWIJK,nvt,Nederland,2820 AB,140182,first,last,personal@straat.info,4.3151,52.0612965
